url,lastmod,age_days,freshness
https://lumenflow.demo/post/a-b-testing-framework-tutorial-1,2026-04-05,22,Fresh (< 1 month)
https://lumenflow.demo/blog/a-b-testing-framework-best-practices,2025-12-16,132,Aging (3-6 months)
https://lumenflow.demo/guide/a-b-testing-framework-explained,2026-03-10,48,Recent (1-3 months)
https://lumenflow.demo/post/how-to-a-b-testing-framework-4,2026-03-18,40,Fresh (< 1 month)
https://lumenflow.demo/case-study/a-b-testing-framework-umbrella,2025-12-11,137,Aging (3-6 months)
https://lumenflow.demo/post/a-b-testing-framework-tutorial-6,2025-08-02,268,Stale (6-12 months)
https://lumenflow.demo/blog/a-b-testing-framework-best-practices,2026-04-26,1,Fresh (< 1 month)
https://lumenflow.demo/guide/a-b-testing-framework-explained,2026-03-20,38,Fresh (< 1 month)
https://lumenflow.demo/post/how-to-a-b-testing-framework-9,2025-08-17,253,Stale (6-12 months)
https://lumenflow.demo/case-study/a-b-testing-framework-umbrella,2026-04-23,4,Fresh (< 1 month)
https://lumenflow.demo/post/event-schema-design-tutorial-1,2026-01-31,86,Recent (1-3 months)
https://lumenflow.demo/blog/event-schema-design-best-practices,2026-02-17,69,Recent (1-3 months)
https://lumenflow.demo/guide/event-schema-design-explained,2024-11-16,527,Decaying (12+ months)
https://lumenflow.demo/post/how-to-event-schema-design-4,2025-11-30,148,Aging (3-6 months)
https://lumenflow.demo/case-study/event-schema-design-umbrella,2025-12-20,128,Aging (3-6 months)
https://lumenflow.demo/post/event-schema-design-tutorial-6,2026-03-09,49,Recent (1-3 months)
https://lumenflow.demo/post/session-replay-tutorial-1,2025-12-10,138,Aging (3-6 months)
https://lumenflow.demo/blog/session-replay-best-practices,2026-02-21,65,Recent (1-3 months)
https://lumenflow.demo/guide/session-replay-explained,2025-12-28,120,Aging (3-6 months)
https://lumenflow.demo/post/how-to-session-replay-4,2024-11-17,526,Decaying (12+ months)
https://lumenflow.demo/case-study/session-replay-umbrella,2025-08-14,256,Stale (6-12 months)
https://lumenflow.demo/post/privacy-compliance-tutorial-1,2025-12-08,140,Aging (3-6 months)
https://lumenflow.demo/blog/privacy-compliance-best-practices,2026-04-11,16,Fresh (< 1 month)
https://lumenflow.demo/guide/privacy-compliance-explained,2025-09-01,238,Stale (6-12 months)
https://lumenflow.demo/post/how-to-privacy-compliance-4,2024-10-31,543,Decaying (12+ months)
https://lumenflow.demo/post/data-pipeline-architecture-tutorial-1,2025-08-14,256,Stale (6-12 months)
https://lumenflow.demo/blog/data-pipeline-architecture-best-practices,2026-03-05,53,Recent (1-3 months)
https://lumenflow.demo/guide/data-pipeline-architecture-explained,2025-08-17,253,Stale (6-12 months)
https://lumenflow.demo/post/how-to-data-pipeline-architecture-4,2026-03-13,45,Fresh (< 1 month)
https://lumenflow.demo/case-study/data-pipeline-architecture-umbrella,2026-01-07,110,Aging (3-6 months)
https://lumenflow.demo/post/data-pipeline-architecture-tutorial-6,2025-08-25,245,Stale (6-12 months)
https://lumenflow.demo/post/dashboard-building-tutorial-1,2025-07-31,270,Stale (6-12 months)
https://lumenflow.demo/blog/dashboard-building-best-practices,2026-03-24,34,Fresh (< 1 month)
https://lumenflow.demo/guide/dashboard-building-explained,2026-02-22,64,Recent (1-3 months)
https://lumenflow.demo/post/how-to-dashboard-building-4,2025-07-31,270,Stale (6-12 months)
https://lumenflow.demo/case-study/dashboard-building-umbrella,2025-08-01,269,Stale (6-12 months)
https://lumenflow.demo/post/dashboard-building-tutorial-6,2025-12-20,128,Aging (3-6 months)
https://lumenflow.demo/blog/dashboard-building-best-practices,2026-01-05,112,Aging (3-6 months)
https://lumenflow.demo/guide/dashboard-building-explained,2024-11-10,533,Decaying (12+ months)
https://lumenflow.demo/post/self-serve-analytics-tutorial-1,2026-02-10,76,Recent (1-3 months)
https://lumenflow.demo/blog/self-serve-analytics-best-practices,2026-03-23,35,Fresh (< 1 month)
https://lumenflow.demo/guide/self-serve-analytics-explained,2025-12-14,134,Aging (3-6 months)
https://lumenflow.demo/post/how-to-self-serve-analytics-4,2025-08-10,260,Stale (6-12 months)
https://lumenflow.demo/case-study/self-serve-analytics-umbrella,2026-04-22,5,Fresh (< 1 month)
https://lumenflow.demo/post/self-serve-analytics-tutorial-6,2026-04-02,25,Fresh (< 1 month)
https://lumenflow.demo/blog/self-serve-analytics-best-practices,2024-10-19,555,Decaying (12+ months)
https://lumenflow.demo/post/mobile-app-analytics-tutorial-1,2025-12-17,131,Aging (3-6 months)
https://lumenflow.demo/blog/mobile-app-analytics-best-practices,2025-09-10,229,Stale (6-12 months)
https://lumenflow.demo/guide/mobile-app-analytics-explained,2026-04-07,20,Fresh (< 1 month)
https://lumenflow.demo/post/how-to-mobile-app-analytics-4,2025-12-15,133,Aging (3-6 months)
https://lumenflow.demo/case-study/mobile-app-analytics-umbrella,2025-12-10,138,Aging (3-6 months)
