url,primary_intent,secondary_intent,confidence,transactional_signals,commercial_signals,informational_signals,navigational_signals
https://lumenflow.demo/guide/funnel-analysis-explained,informational,transactional,0.88,1,2,6,1
https://lumenflow.demo/post/how-to-funnel-analysis-4,informational,commercial,0.81,1,6,15,2
https://lumenflow.demo/case-study/funnel-analysis-umbrella,informational,transactional,0.57,6,6,2,4
https://lumenflow.demo/post/funnel-analysis-tutorial-6,informational,commercial,0.9,4,12,14,3
https://lumenflow.demo/blog/funnel-analysis-best-practices,informational,navigational,0.75,3,7,9,2
https://lumenflow.demo/post/cohort-reporting-tutorial-1,informational,commercial,0.69,6,11,7,3
https://lumenflow.demo/blog/cohort-reporting-best-practices,transactional,navigational,0.75,6,9,2,0
https://lumenflow.demo/guide/cohort-reporting-explained,commercial,informational,0.87,2,0,10,3
https://lumenflow.demo/post/how-to-cohort-reporting-4,informational,transactional,0.67,6,4,15,2
https://lumenflow.demo/case-study/cohort-reporting-umbrella,transactional,commercial,0.56,8,0,13,1
https://lumenflow.demo/post/cohort-reporting-tutorial-6,commercial,navigational,0.56,0,3,8,0
https://lumenflow.demo/post/retention-metrics-tutorial-1,commercial,informational,0.6,1,9,8,3
https://lumenflow.demo/blog/retention-metrics-best-practices,commercial,transactional,0.61,1,12,7,2
https://lumenflow.demo/guide/retention-metrics-explained,informational,commercial,0.89,6,6,8,0
https://lumenflow.demo/post/how-to-retention-metrics-4,commercial,navigational,0.64,4,10,5,4
https://lumenflow.demo/case-study/retention-metrics-umbrella,commercial,transactional,0.75,5,1,18,2
https://lumenflow.demo/post/retention-metrics-tutorial-6,informational,transactional,0.85,1,6,13,3
https://lumenflow.demo/blog/retention-metrics-best-practices,commercial,transactional,0.62,8,10,10,4
https://lumenflow.demo/guide/retention-metrics-explained,transactional,navigational,0.84,7,6,10,2
https://lumenflow.demo/post/how-to-retention-metrics-9,transactional,informational,0.65,7,3,16,4
https://lumenflow.demo/post/onboarding-optimization-tutorial-1,commercial,transactional,0.67,7,5,7,3
https://lumenflow.demo/blog/onboarding-optimization-best-practices,informational,transactional,0.68,4,8,2,4
https://lumenflow.demo/guide/onboarding-optimization-explained,transactional,informational,0.64,6,7,9,3
https://lumenflow.demo/post/how-to-onboarding-optimization-4,commercial,transactional,0.72,0,1,11,1
https://lumenflow.demo/case-study/onboarding-optimization-umbrella,informational,commercial,0.66,5,7,18,2
https://lumenflow.demo/post/feature-adoption-tutorial-1,informational,navigational,0.75,5,11,16,2
https://lumenflow.demo/blog/feature-adoption-best-practices,informational,commercial,0.59,3,5,5,4
https://lumenflow.demo/guide/feature-adoption-explained,navigational,transactional,0.62,3,11,17,2
https://lumenflow.demo/post/how-to-feature-adoption-4,commercial,navigational,0.77,1,3,11,1
https://lumenflow.demo/case-study/feature-adoption-umbrella,informational,transactional,0.56,8,2,10,0
https://lumenflow.demo/post/feature-adoption-tutorial-6,navigational,transactional,0.66,2,10,17,0
https://lumenflow.demo/blog/feature-adoption-best-practices,transactional,navigational,0.66,7,7,12,1
https://lumenflow.demo/post/churn-prediction-tutorial-1,navigational,commercial,0.9,7,1,4,3
https://lumenflow.demo/blog/churn-prediction-best-practices,informational,navigational,0.78,0,2,6,4
https://lumenflow.demo/guide/churn-prediction-explained,transactional,informational,0.92,1,8,15,4
https://lumenflow.demo/post/how-to-churn-prediction-4,commercial,navigational,0.63,8,6,16,3
https://lumenflow.demo/post/a-b-testing-framework-tutorial-1,informational,navigational,0.92,4,9,3,4
https://lumenflow.demo/blog/a-b-testing-framework-best-practices,navigational,informational,0.9,3,10,8,2
https://lumenflow.demo/guide/a-b-testing-framework-explained,commercial,informational,0.64,8,1,7,0
https://lumenflow.demo/post/how-to-a-b-testing-framework-4,informational,navigational,0.77,4,0,9,2
https://lumenflow.demo/case-study/a-b-testing-framework-umbrella,commercial,navigational,0.87,1,10,9,2
https://lumenflow.demo/post/a-b-testing-framework-tutorial-6,commercial,navigational,0.77,3,6,5,4
https://lumenflow.demo/blog/a-b-testing-framework-best-practices,informational,commercial,0.89,2,1,3,1
https://lumenflow.demo/guide/a-b-testing-framework-explained,commercial,navigational,0.83,4,7,5,3
https://lumenflow.demo/post/how-to-a-b-testing-framework-9,commercial,navigational,0.7,4,8,17,3
https://lumenflow.demo/case-study/a-b-testing-framework-umbrella,informational,commercial,0.88,5,9,10,0
https://lumenflow.demo/post/event-schema-design-tutorial-1,informational,navigational,0.86,0,12,10,4
https://lumenflow.demo/blog/event-schema-design-best-practices,informational,commercial,0.72,7,4,7,4
https://lumenflow.demo/guide/event-schema-design-explained,informational,transactional,0.91,7,5,15,2
https://lumenflow.demo/post/how-to-event-schema-design-4,informational,commercial,0.87,5,6,17,2
https://lumenflow.demo/case-study/event-schema-design-umbrella,commercial,transactional,0.85,8,0,16,0
https://lumenflow.demo/post/event-schema-design-tutorial-6,informational,transactional,0.59,6,8,2,4
https://lumenflow.demo/post/session-replay-tutorial-1,informational,commercial,0.62,5,9,17,3
https://lumenflow.demo/blog/session-replay-best-practices,commercial,informational,0.65,2,4,16,3
https://lumenflow.demo/guide/session-replay-explained,informational,navigational,0.78,3,11,7,2
https://lumenflow.demo/post/how-to-session-replay-4,commercial,navigational,0.7,3,1,16,0
https://lumenflow.demo/case-study/session-replay-umbrella,commercial,informational,0.73,4,8,10,3
https://lumenflow.demo/post/privacy-compliance-tutorial-1,transactional,commercial,0.64,8,2,14,1
https://lumenflow.demo/blog/privacy-compliance-best-practices,transactional,navigational,0.83,2,1,10,3
https://lumenflow.demo/guide/privacy-compliance-explained,informational,navigational,0.65,0,4,11,4
https://lumenflow.demo/post/how-to-privacy-compliance-4,commercial,navigational,0.73,2,7,17,2
https://lumenflow.demo/post/data-pipeline-architecture-tutorial-1,informational,navigational,0.69,5,3,9,4
https://lumenflow.demo/blog/data-pipeline-architecture-best-practices,informational,transactional,0.57,7,11,14,3
https://lumenflow.demo/guide/data-pipeline-architecture-explained,navigational,transactional,0.91,7,0,6,4
https://lumenflow.demo/post/how-to-data-pipeline-architecture-4,navigational,commercial,0.87,7,1,18,3
https://lumenflow.demo/case-study/data-pipeline-architecture-umbrella,informational,commercial,0.7,2,1,17,2
https://lumenflow.demo/post/data-pipeline-architecture-tutorial-6,informational,navigational,0.7,1,5,14,2
https://lumenflow.demo/post/dashboard-building-tutorial-1,commercial,transactional,0.87,0,9,4,1
https://lumenflow.demo/blog/dashboard-building-best-practices,commercial,transactional,0.92,1,6,5,0
https://lumenflow.demo/guide/dashboard-building-explained,informational,navigational,0.66,0,0,12,0
https://lumenflow.demo/post/how-to-dashboard-building-4,informational,transactional,0.71,3,8,15,4
https://lumenflow.demo/case-study/dashboard-building-umbrella,commercial,informational,0.61,1,9,14,4
https://lumenflow.demo/post/dashboard-building-tutorial-6,commercial,transactional,0.89,2,3,16,2
https://lumenflow.demo/blog/dashboard-building-best-practices,informational,navigational,0.55,7,4,7,0
https://lumenflow.demo/guide/dashboard-building-explained,informational,transactional,0.92,4,10,15,2
https://lumenflow.demo/post/self-serve-analytics-tutorial-1,informational,transactional,0.62,6,7,5,1
https://lumenflow.demo/blog/self-serve-analytics-best-practices,informational,transactional,0.76,4,0,14,2
https://lumenflow.demo/guide/self-serve-analytics-explained,informational,navigational,0.84,0,9,17,2
https://lumenflow.demo/post/how-to-self-serve-analytics-4,commercial,informational,0.77,5,3,8,4
https://lumenflow.demo/case-study/self-serve-analytics-umbrella,informational,navigational,0.83,2,10,5,0
https://lumenflow.demo/post/self-serve-analytics-tutorial-6,informational,transactional,0.56,5,11,6,0
https://lumenflow.demo/blog/self-serve-analytics-best-practices,transactional,commercial,0.83,2,3,6,4
https://lumenflow.demo/post/mobile-app-analytics-tutorial-1,transactional,commercial,0.75,4,2,10,3
https://lumenflow.demo/blog/mobile-app-analytics-best-practices,navigational,commercial,0.83,5,12,5,3
https://lumenflow.demo/guide/mobile-app-analytics-explained,navigational,informational,0.83,3,10,14,4
https://lumenflow.demo/post/how-to-mobile-app-analytics-4,informational,transactional,0.56,8,1,16,2
https://lumenflow.demo/case-study/mobile-app-analytics-umbrella,commercial,navigational,0.65,6,10,13,0
https://lumenflow.demo/post/web-analytics-tutorial-1,commercial,transactional,0.56,8,5,9,0
https://lumenflow.demo/blog/web-analytics-best-practices,commercial,transactional,0.89,4,10,15,0
https://lumenflow.demo/guide/web-analytics-explained,informational,commercial,0.66,7,1,5,1
https://lumenflow.demo/post/how-to-web-analytics-4,transactional,informational,0.69,5,10,15,4
https://lumenflow.demo/case-study/web-analytics-umbrella,commercial,informational,0.88,1,7,15,2
https://lumenflow.demo/post/web-analytics-tutorial-6,informational,transactional,0.63,7,3,13,0
https://lumenflow.demo/post/e-commerce-tracking-tutorial-1,navigational,commercial,0.75,5,0,14,2
https://lumenflow.demo/blog/e-commerce-tracking-best-practices,informational,commercial,0.9,7,1,8,4
https://lumenflow.demo/guide/e-commerce-tracking-explained,navigational,informational,0.84,3,2,8,0
https://lumenflow.demo/post/how-to-e-commerce-tracking-4,transactional,navigational,0.63,3,3,12,1
https://lumenflow.demo/post/marketing-attribution-tutorial-1,commercial,navigational,0.55,2,2,10,1
https://lumenflow.demo/blog/marketing-attribution-best-practices,informational,commercial,0.6,5,12,9,4
https://lumenflow.demo/guide/marketing-attribution-explained,informational,commercial,0.65,2,11,15,4
https://lumenflow.demo/post/how-to-marketing-attribution-4,informational,commercial,0.73,5,8,5,3
https://lumenflow.demo/case-study/marketing-attribution-umbrella,informational,navigational,0.57,8,4,16,0
https://lumenflow.demo/post/marketing-attribution-tutorial-6,informational,transactional,0.86,6,10,5,3
https://lumenflow.demo/blog/marketing-attribution-best-practices,commercial,transactional,0.58,1,5,6,0
https://lumenflow.demo/post/product-led-growth-tutorial-1,informational,navigational,0.78,8,11,12,3
https://lumenflow.demo/blog/product-led-growth-best-practices,navigational,transactional,0.66,8,9,15,0
https://lumenflow.demo/guide/product-led-growth-explained,commercial,informational,0.87,8,11,8,3
https://lumenflow.demo/post/how-to-product-led-growth-4,informational,commercial,0.7,7,6,15,0
https://lumenflow.demo/case-study/product-led-growth-umbrella,informational,transactional,0.8,5,2,17,0
https://lumenflow.demo/post/product-led-growth-tutorial-6,informational,commercial,0.58,1,11,13,1
https://lumenflow.demo/blog/product-led-growth-best-practices,commercial,navigational,0.9,8,5,5,3
https://lumenflow.demo/guide/product-led-growth-explained,informational,navigational,0.9,6,11,3,2
https://lumenflow.demo/post/how-to-product-led-growth-9,commercial,transactional,0.59,8,3,6,3
https://lumenflow.demo/post/customer-journey-mapping-tutorial-1,informational,commercial,0.68,8,5,5,2
https://lumenflow.demo/blog/customer-journey-mapping-best-practices,commercial,transactional,0.86,8,0,10,0
https://lumenflow.demo/guide/customer-journey-mapping-explained,informational,navigational,0.83,5,5,2,1
https://lumenflow.demo/post/how-to-customer-journey-mapping-4,transactional,navigational,0.79,1,2,2,0
https://lumenflow.demo/case-study/customer-journey-mapping-umbrella,commercial,informational,0.69,7,5,7,2
https://lumenflow.demo/post/voice-of-customer-tutorial-1,informational,transactional,0.84,1,0,6,1
https://lumenflow.demo/blog/voice-of-customer-best-practices,commercial,informational,0.8,4,7,15,3
https://lumenflow.demo/guide/voice-of-customer-explained,commercial,transactional,0.65,8,1,13,3
https://lumenflow.demo/post/how-to-voice-of-customer-4,informational,navigational,0.8,7,8,11,0
https://lumenflow.demo/post/nps-tracking-tutorial-1,informational,navigational,0.57,3,4,8,1
https://lumenflow.demo/blog/nps-tracking-best-practices,commercial,transactional,0.67,0,7,15,1
https://lumenflow.demo/guide/nps-tracking-explained,informational,navigational,0.81,8,8,13,0
https://lumenflow.demo/post/how-to-nps-tracking-4,informational,navigational,0.57,0,7,4,2
https://lumenflow.demo/post/heatmaps-tutorial-1,commercial,navigational,0.7,6,4,5,3
https://lumenflow.demo/blog/heatmaps-best-practices,informational,transactional,0.61,7,11,13,0
https://lumenflow.demo/guide/heatmaps-explained,informational,commercial,0.64,6,8,4,3
https://lumenflow.demo/post/how-to-heatmaps-4,transactional,navigational,0.68,5,12,7,0
https://lumenflow.demo/case-study/heatmaps-umbrella,informational,commercial,0.75,3,12,13,2
https://lumenflow.demo/post/personalization-engine-tutorial-1,commercial,navigational,0.85,3,1,6,2
https://lumenflow.demo/blog/personalization-engine-best-practices,informational,navigational,0.61,1,2,17,3
https://lumenflow.demo/guide/personalization-engine-explained,commercial,navigational,0.72,5,10,12,1
https://lumenflow.demo/post/how-to-personalization-engine-4,informational,transactional,0.71,4,12,10,4
https://lumenflow.demo/post/push-notification-strategy-tutorial-1,informational,navigational,0.58,7,7,3,0
https://lumenflow.demo/blog/push-notification-strategy-best-practices,informational,transactional,0.58,1,9,18,3
https://lumenflow.demo/guide/push-notification-strategy-explained,informational,navigational,0.9,0,7,8,2
https://lumenflow.demo/post/email-engagement-tutorial-1,commercial,navigational,0.61,0,7,5,2
https://lumenflow.demo/blog/email-engagement-best-practices,navigational,informational,0.74,2,0,9,3
https://lumenflow.demo/guide/email-engagement-explained,navigational,transactional,0.74,2,5,13,2
https://lumenflow.demo/post/how-to-email-engagement-4,informational,transactional,0.8,0,12,12,0
https://lumenflow.demo/case-study/email-engagement-umbrella,informational,navigational,0.8,4,4,6,2
https://lumenflow.demo/post/conversion-optimization-tutorial-1,informational,navigational,0.6,5,4,14,1
https://lumenflow.demo/blog/conversion-optimization-best-practices,commercial,informational,0.66,6,10,12,1
https://lumenflow.demo/guide/conversion-optimization-explained,commercial,navigational,0.92,8,1,15,4
https://lumenflow.demo/post/how-to-conversion-optimization-4,informational,transactional,0.66,3,5,17,1
https://lumenflow.demo/case-study/conversion-optimization-umbrella,informational,commercial,0.61,4,12,5,4
https://lumenflow.demo/post/conversion-optimization-tutorial-6,commercial,navigational,0.88,0,10,12,4
https://lumenflow.demo/blog/conversion-optimization-best-practices,informational,transactional,0.61,2,11,7,3
https://lumenflow.demo/guide/conversion-optimization-explained,informational,transactional,0.8,3,7,11,3
https://lumenflow.demo/post/saas-metrics-tutorial-1,informational,commercial,0.66,7,3,13,4
https://lumenflow.demo/blog/saas-metrics-best-practices,navigational,commercial,0.83,6,8,18,3
https://lumenflow.demo/guide/saas-metrics-explained,navigational,informational,0.85,2,4,3,3
https://lumenflow.demo/post/how-to-saas-metrics-4,transactional,navigational,0.9,8,1,11,0
https://lumenflow.demo/case-study/saas-metrics-umbrella,commercial,transactional,0.72,8,2,15,0
https://lumenflow.demo/post/saas-metrics-tutorial-6,transactional,informational,0.85,5,0,15,0
